instrumentID;loctimestamp;daystomaturity;implStrike;underlyingprice;underlyingforwardprice;rndStrike
DE0009652396D1;2010-08-26 00:00:00;22;1482.6;2603.66;2601.05;3.8198e-07
DE0009652396D1;2010-08-26 00:00:00;22;1495.6;2603.66;2601.05;3.98606e-07
DE0009652396D1;2010-08-26 00:00:00;22;1508.61;2603.66;2601.05;4.16643e-07
DE0009652396D1;2010-08-26 00:00:00;22;1521.62;2603.66;2601.05;4.36274e-07
DE0009652396D1;2010-08-26 00:00:00;22;1534.62;2603.66;2601.05;4.57713e-07
DE0009652396D1;2010-08-26 00:00:00;22;1547.63;2603.66;2601.05;4.81217e-07
DE0009652396D1;2010-08-26 00:00:00;22;1560.63;2603.66;2601.05;5.0709e-07
DE0009652396D1;2010-08-26 00:00:00;22;1573.64;2603.66;2601.05;5.35699e-07
DE0009652396D1;2010-08-26 00:00:00;22;1586.64;2603.66;2601.05;5.67493e-07
DE0009652396D1;2010-08-26 00:00:00;22;1599.65;2603.66;2601.05;6.03018e-07
DE0009652396D1;2010-08-26 00:00:00;22;1612.65;2603.66;2601.05;6.42955e-07
DE0009652396D1;2010-08-26 00:00:00;22;1625.66;2603.66;2601.05;6.88155e-07
DE0009652396D1;2010-08-26 00:00:00;22;1638.66;2603.66;2601.05;7.39704e-07
DE0009652396D1;2010-08-26 00:00:00;22;1651.67;2603.66;2601.05;7.99001e-07
DE0009652396D1;2010-08-26 00:00:00;22;1664.67;2603.66;2601.05;8.67883e-07
DE0009652396D1;2010-08-26 00:00:00;22;1677.68;2603.66;2601.05;9.48806e-07
DE0009652396D1;2010-08-26 00:00:00;22;1690.68;2603.66;2601.05;1.04513e-06
DE0009652396D1;2010-08-26 00:00:00;22;1703.69;2603.66;2601.05;1.16158e-06
DE0009652396D1;2010-08-26 00:00:00;22;1716.69;2603.66;2601.05;1.30498e-06
DE0009652396D1;2010-08-26 00:00:00;22;1729.7;2603.66;2601.05;1.4856e-06
DE0009652396D1;2010-08-26 00:00:00;22;1742.7;2603.66;2601.05;1.71952e-06
DE0009652396D1;2010-08-26 00:00:00;22;1755.71;2603.66;2601.05;2.03353e-06
DE0009652396D1;2010-08-26 00:00:00;22;1768.72;2603.66;2601.05;2.47545e-06
DE0009652396D1;2010-08-26 00:00:00;22;1781.72;2603.66;2601.05;3.13959e-06
DE0009652396D1;2010-08-26 00:00:00;22;1794.73;2603.66;2601.05;4.23984e-06
DE0009652396D1;2010-08-26 00:00:00;22;1807.73;2603.66;2601.05;6.3806e-06
DE0009652396D1;2010-08-26 00:00:00;22;1820.74;2603.66;2601.05;1.21295e-05
DE0009652396D1;2010-08-26 00:00:00;22;1833.74;2603.66;2601.05;1.34265e-05
DE0009652396D1;2010-08-26 00:00:00;22;1846.75;2603.66;2601.05;1.43582e-05
DE0009652396D1;2010-08-26 00:00:00;22;1859.75;2603.66;2601.05;1.52899e-05
DE0009652396D1;2010-08-26 00:00:00;22;1872.76;2603.66;2601.05;1.64259e-05
DE0009652396D1;2010-08-26 00:00:00;22;1885.76;2603.66;2601.05;1.83794e-05
DE0009652396D1;2010-08-26 00:00:00;22;1898.77;2603.66;2601.05;2.05373e-05
DE0009652396D1;2010-08-26 00:00:00;22;1911.77;2603.66;2601.05;2.26952e-05
DE0009652396D1;2010-08-26 00:00:00;22;1924.78;2603.66;2601.05;2.50225e-05
DE0009652396D1;2010-08-26 00:00:00;22;1937.78;2603.66;2601.05;2.80271e-05
DE0009652396D1;2010-08-26 00:00:00;22;1950.79;2603.66;2601.05;3.1201e-05
DE0009652396D1;2010-08-26 00:00:00;22;1963.79;2603.66;2601.05;3.4375e-05
DE0009652396D1;2010-08-26 00:00:00;22;1976.8;2603.66;2601.05;3.78234e-05
DE0009652396D1;2010-08-26 00:00:00;22;1989.8;2603.66;2601.05;4.237e-05
DE0009652396D1;2010-08-26 00:00:00;22;2002.81;2603.66;2601.05;4.71911e-05
DE0009652396D1;2010-08-26 00:00:00;22;2015.82;2603.66;2601.05;5.20122e-05
DE0009652396D1;2010-08-26 00:00:00;22;2028.82;2603.66;2601.05;5.72396e-05
DE0009652396D1;2010-08-26 00:00:00;22;2041.83;2603.66;2601.05;6.40925e-05
DE0009652396D1;2010-08-26 00:00:00;22;2054.83;2603.66;2601.05;7.13517e-05
DE0009652396D1;2010-08-26 00:00:00;22;2067.84;2603.66;2601.05;7.8611e-05
DE0009652396D1;2010-08-26 00:00:00;22;2080.84;2603.66;2601.05;8.64689e-05
DE0009652396D1;2010-08-26 00:00:00;22;2093.85;2603.66;2601.05;9.67216e-05
DE0009652396D1;2010-08-26 00:00:00;22;2106.85;2603.66;2601.05;0.000107573
DE0009652396D1;2010-08-26 00:00:00;22;2119.86;2603.66;2601.05;0.000118424
DE0009652396D1;2010-08-26 00:00:00;22;2132.86;2603.66;2601.05;0.000130144
DE0009652396D1;2010-08-26 00:00:00;22;2145.87;2603.66;2601.05;0.000145336
DE0009652396D1;2010-08-26 00:00:00;22;2158.87;2603.66;2601.05;0.000161395
DE0009652396D1;2010-08-26 00:00:00;22;2171.88;2603.66;2601.05;0.000177455
DE0009652396D1;2010-08-26 00:00:00;22;2184.88;2603.66;2601.05;0.000194747
DE0009652396D1;2010-08-26 00:00:00;22;2197.89;2603.66;2601.05;0.000216968
DE0009652396D1;2010-08-26 00:00:00;22;2210.89;2603.66;2601.05;0.00024042
DE0009652396D1;2010-08-26 00:00:00;22;2223.9;2603.66;2601.05;0.000263873
DE0009652396D1;2010-08-26 00:00:00;22;2236.9;2603.66;2601.05;0.000289021
DE0009652396D1;2010-08-26 00:00:00;22;2249.91;2603.66;2601.05;0.000320954
DE0009652396D1;2010-08-26 00:00:00;22;2262.91;2603.66;2601.05;0.000354583
DE0009652396D1;2010-08-26 00:00:00;22;2275.92;2603.66;2601.05;0.000388212
DE0009652396D1;2010-08-26 00:00:00;22;2288.93;2603.66;2601.05;0.000424071
DE0009652396D1;2010-08-26 00:00:00;22;2301.93;2603.66;2601.05;0.000468852
DE0009652396D1;2010-08-26 00:00:00;22;2314.94;2603.66;2601.05;0.000515863
